x	y
1.43100	3.08750
0.70700	2.34250
0.96500	2.67750
0.61300	2.72750
1.27700	4.66750
1.59700	1.93750
1.05300	3.20750
1.02500	3.33750
0.62900	2.47750
0.47100	3.54250
1.45100	1.44250
0.18300	1.82750
1.41900	3.95250
0.66500	1.98250
0.27900	2.19250
1.20100	2.84750
0.24900	2.79750
0.89500	2.70250
0.75100	3.27250
0.39700	2.77250
0.86500	2.09250
0.12900	3.85750
0.96700	2.12750
1.63700	0.96750
1.58500	3.02250
1.05300	1.90250
0.86900	2.97250
0.91500	2.23250
0.73900	2.83750
0.91300	1.84750
0.99500	2.17750
1.19900	2.55750
0.77100	2.78750
1.43900	2.38750
1.21300	2.84250
0.65300	1.62750
0.70700	3.10250
0.55900	2.02250
1.38300	4.02750
1.13500	3.08250
1.25900	3.71250
1.05100	3.93750
0.24100	1.62750
1.06100	2.62250
0.78300	1.83750
1.29700	1.74250
0.36300	1.52250
1.11300	1.62250
1.02100	1.94750
0.52300	1.18250
1.11500	1.19750
0.93500	1.41750
1.39700	1.58250
1.23300	2.81250
0.62700	2.50250
0.79700	2.80750
0.77100	3.68750
0.49700	3.14750
0.10900	1.54750
1.16900	1.63750
1.23700	2.34250
0.89500	2.26750
1.15900	0.75750
0.96300	0.92750
0.98900	1.59750
0.76900	3.15250
0.78500	2.22250
0.54100	1.55750
0.61700	4.53750
1.01100	3.29750
0.49100	3.31750
1.20900	4.05750
0.89700	3.17250
1.18700	0.98250
1.23300	3.60250
0.79900	3.15750
1.69900	3.43250
0.84500	2.44750
0.38300	1.18250
1.49500	2.87250
0.61900	3.55750
0.84900	2.19750
0.70100	3.81750
1.08900	2.83750
0.66500	2.30750
1.51700	3.39750
1.09900	2.90250
1.20100	2.58750
1.47900	3.08250
1.11900	1.71250
1.43700	3.48250
1.28700	2.04750
1.30100	2.30250
1.54100	2.30250
1.17100	2.46750
1.43500	2.00750
1.53700	2.27250
1.68300	1.51250
0.93100	1.67250
1.19300	1.83750